"","quarter","ageg10","sex","hiv","n","q","pop","inc","count"
"1",2012-10-01,"15-24","females","Negative",28,1,129510,21.6199521272489,"28"
"2",2012-10-01,"15-24","females","Positive",43,1,129510,33.202069338275,"43"
"3",2012-10-01,"15-24","females",NA,25,1,129510,19.3035286850436,"25"
"4",2012-10-01,"15-24","males","Negative",32,1,119197,26.8463132461387,"32"
"5",2012-10-01,"15-24","males","Positive",18,1,119197,15.101051200953,"18"
"6",2012-10-01,"15-24","males",NA,30,1,119197,25.1684186682551,"30"
"7",2012-10-01,"25-34","females","Negative",21,1,94609,22.1966197719033,"21"
"8",2012-10-01,"25-34","females","Positive",129,1,94609,136.35066431312,"129"
"9",2012-10-01,"25-34","females",NA,31,1,94609,32.7664387109049,"31"
"10",2012-10-01,"25-34","males","Negative",32,1,96894,33.025780750098,"32"
"11",2012-10-01,"25-34","males","Positive",72,1,96894,74.3080066877206,"72"
"12",2012-10-01,"25-34","males",NA,35,1,96894,36.1219476954197,"35"
"13",2012-10-01,"35-44","females","Negative",12,1,51523,23.2905692603303,"12"
"14",2012-10-01,"35-44","females","Positive",77,1,51523,149.447819420453,"77"
"15",2012-10-01,"35-44","females",NA,20,1,51523,38.8176154338839,"20"
"16",2012-10-01,"35-44","males","Negative",12,1,59627,20.1251111073842,"12"
"17",2012-10-01,"35-44","males","Positive",124,1,59627,207.95948144297,"124"
"18",2012-10-01,"35-44","males",NA,48,1,59627,80.500444429537,"48"
"19",2012-10-01,"45-54","females","Negative",9,1,24832,36.2435567010309,"9"
"20",2012-10-01,"45-54","females","Positive",35,1,24832,140.947164948454,"35"
"21",2012-10-01,"45-54","females",NA,15,1,24832,60.4059278350515,"15"
"22",2012-10-01,"45-54","males","Negative",14,1,28058,49.8966426687576,"14"
"23",2012-10-01,"45-54","males","Positive",50,1,28058,178.202295245563,"50"
"24",2012-10-01,"45-54","males",NA,16,1,28058,57.0247344785801,"16"
"25",2012-10-01,"55-64","females","Negative",17,1,14743,115.308960184494,"17"
"26",2012-10-01,"55-64","females","Positive",14,1,14743,94.9603201519365,"14"
"27",2012-10-01,"55-64","females",NA,20,1,14743,135.657600217052,"20"
"28",2012-10-01,"55-64","males","Negative",14,1,15591,89.7953947790392,"14"
"29",2012-10-01,"55-64","males","Positive",14,1,15591,89.7953947790392,"14"
"30",2012-10-01,"55-64","males",NA,12,1,15591,76.9674812391765,"12"
"31",2012-10-01,"65+","females","Negative",25,1,14427,173.286199487073,"25"
"32",2012-10-01,"65+","females","Positive",6,1,14427,41.5886878768975,"6"
"33",2012-10-01,"65+","females",NA,33,1,14427,228.737783322936,"33"
"34",2012-10-01,"65+","males","Negative",22,1,12778,172.17091876663,"22"
"35",2012-10-01,"65+","males","Positive",9,1,12778,70.4335576772578,"9"
"36",2012-10-01,"65+","males",NA,25,1,12778,195.648771325716,"25"
"37",2013-01-01,"15-24","females","Negative",39,2,130284,29.9346044026895,"39"
"38",2013-01-01,"15-24","females","Positive",38,2,130284,29.1670504436462,"38"
"39",2013-01-01,"15-24","females",NA,41,2,130284,31.4697123207761,"41"
"40",2013-01-01,"15-24","males","Negative",33,2,120081,27.4814500212357,"33"
"41",2013-01-01,"15-24","males","Positive",17,2,120081,14.1571106170002,"17"
"42",2013-01-01,"15-24","males",NA,41,2,120081,34.1436197233534,"41"
